NACA0012	h		                       m		       t
	y=-7.7497x.^2+1.4335x		y=-8.9274x.^2+1.7649x		y=-10.1300x.^2+2.0432x
	y=-8.0381x.^2+1.6426x		y=-9.0073x.^2+1.8538x		y=-10.1300x.^2+2.0432x
	y=-8.9381x.^2+1.7772x		y=-9.0641x.^2+1.9148x		y=-10.1300x.^2+2.0432x
	y=-9.0184x.^2+1.8659x		y=-9.1032x.^2+1.9566x		y=-10.1300x.^2+2.0432x
					
					
	y=6.1925x.^2		y=5.6755x.^2		y=5.1949x.^2
	y=5.5646x.^2		y=5.4460x.^2		y=5.1949x.^2
	y=5.4400x.^2		y=5.3599x.^2		y=5.1949x.^2
	y=5.3935x.^2		y=5.3630x.^2		y=5.1949x.^2
